64 -22.909351 -43.272845 0 0.014378160862614356 0.019124319624384243 0.7913575141456374 1.1609362741139884  222 0.959 362 0.959 493 0.916 530 0.936 1523 0.936 297 0.916
65 -23.011791 -43.395419 0 0.0 0.4765268456899387 0.016890263347831263 0.11441710387363269  577 0.969 1354 0.957 1471 0.774 285 0.804
66 -22.794122 -43.223988 0 0.6345689879022565 0.1597194532103204 0.0 0.09202005193365502  363 0.940 821 0.794 633 0.918 7 0.937 515 0.959
67 -22.959356 -43.320151 0 0.0 0.7899634550579158 0.03443874522470042 0.15717653295833467  1436 0.916 1297 0.936 713 0.959 1550 0.916 716 0.959 72 0.935
68 -22.972848 -43.212890 0 0.08497393725210295 0.7282252238928034 0.011188459270000426 0.31411806272718673  896 0.959 563 0.959 1165 0.935 984 0.916 775 0.935 377 0.916
69 -22.930656 -43.473130 0 0.0 0.8244865495269476 0.0 0.20669412821735295  1254 0.916 1501 0.936 1467 0.936 310 0.958 570 0.916 789 0.958
70 -22.976014 -43.335920 0 0.06580139778992627 0.23021117040507466 0.4793805741676531 0.17534340741135587  1432 0.935 1508 0.958 115 0.935 1150 0.915 902 0.916 1087 0.958
71 -22.837735 -43.424209 0 0.0 0.6698931576274734 0.0 0.4122682599085527  1257 0.913 1022 0.858 468 0.890
72 -22.965707 -43.314156 0 0.0 0.7435973921054131 0.08075782668691173 0.1571675756948367  1436 0.958 956 0.958 713 0.916 1002 0.916 67 0.935 120 0.935
73 -22.892299 -43.456833 0 0.008024719987036097 0.53334027908848 0.2834556710553304 0.6086907167743221  895 0.936 934 0.936 1247 0.959 1500 0.916 1085 0.959 212 0.916
74 -22.920454 -43.199343 0 0.07382233677140589 0.1088217109818863 0.5873419834284412 1.398249858527497  652 0.936 1483 0.936 451 0.916 306 0.959 1316 0.916 891 0.959
75 -22.963850 -43.200379 0 0.02678945077559044 0.39925415766731176 0.398429432754806 0.5506937234463785  896 0.916 583 0.935 631 0.916 995 0.935 984 0.959 913 0.959
